date,tipo_de_cambio,tasa_interes,inflacion
2008-01-01,3,3,3
2008-02-01,3,10,10
2008-02-01,3,10,7
2008-02-01,3,10,3
2008-02-01,3,7,10
2008-02-01,3,7,7
2008-02-01,3,7,3
2008-02-01,3,3,10
2008-02-01,3,3,7
2008-02-01,3,3,3
2008-03-01,4,4,4
2008-04-01,4,10,10
2008-04-01,4,10,7
2008-04-01,4,10,4
2008-04-01,4,7,10
2008-04-01,4,7,7
2008-04-01,4,7,4
2008-04-01,4,4,10
2008-04-01,4,4,7
2008-04-01,4,4,4
2008-05-01,4,4,4
2008-06-01,5,5,5
2008-07-01,5,10,10
2008-07-01,5,10,8
2008-07-01,5,10,5
2008-07-01,5,8,10
2008-07-01,5,8,8
2008-07-01,5,8,5
2008-07-01,5,5,10
2008-07-01,5,5,8
2008-07-01,5,5,5
2008-08-01,5,9,9
2008-08-01,5,9,8
2008-08-01,5,9,5
2008-08-01,5,8,9
2008-08-01,5,8,8
2008-08-01,5,8,5
2008-08-01,5,5,9
2008-08-01,5,5,8
2008-08-01,5,5,5
2008-09-01,5,10,10
2008-09-01,5,10,8
2008-09-01,5,10,5
2008-09-01,5,8,10
2008-09-01,5,8,8
2008-09-01,5,8,5
2008-09-01,5,5,10
2008-09-01,5,5,8
2008-09-01,5,5,5
2008-10-01,5,10,10
2008-10-01,5,10,8
2008-10-01,5,10,5
2008-10-01,5,8,10
2008-10-01,5,8,8
2008-10-01,5,8,5
2008-10-01,5,5,10
2008-10-01,5,5,8
2008-10-01,5,5,5
2008-11-01,6,6,6
2008-12-01,6,13,13
2008-12-01,6,13,8
2008-12-01,6,13,6
2008-12-01,6,8,13
2008-12-01,6,8,8
2008-12-01,6,8,6
2008-12-01,6,6,13
2008-12-01,6,6,8
2008-12-01,6,6,6
2009-01-01,6,6,6
2009-02-01,6,6,6
2009-03-01,6,6,6
2009-04-01,6,13,13
2009-04-01,6,13,7
2009-04-01,6,13,6
2009-04-01,6,7,13
2009-04-01,6,7,7
2009-04-01,6,7,6
2009-04-01,6,6,13
2009-04-01,6,6,7
2009-04-01,6,6,6
2009-05-01,5,5,5
2009-06-01,5,13,13
2009-06-01,5,13,5
2009-06-01,5,13,5
2009-06-01,5,5,13
2009-06-01,5,5,5
2009-06-01,5,5,5
2009-06-01,5,5,13
2009-06-01,5,5,5
2009-06-01,5,5,5
2009-07-01,5,13,13
2009-07-01,5,13,5
2009-07-01,5,13,5
2009-07-01,5,5,13
2009-07-01,5,5,5
2009-07-01,5,5,5
2009-07-01,5,5,13
2009-07-01,5,5,5
2009-07-01,5,5,5
2009-08-01,5,5,5
2009-09-01,4,13,13
2009-09-01,4,13,4
2009-09-01,4,13,4
2009-09-01,4,4,13
2009-09-01,4,4,4
2009-09-01,4,4,4
2009-09-01,4,4,13
2009-09-01,4,4,4
2009-09-01,4,4,4
2009-10-01,4,13,13
2009-10-01,4,13,4
2009-10-01,4,13,4
2009-10-01,4,4,13
2009-10-01,4,4,4
2009-10-01,4,4,4
2009-10-01,4,4,13
2009-10-01,4,4,4
2009-10-01,4,4,4
2009-11-01,3,3,3
2009-12-01,3,12,12
2009-12-01,3,12,4
2009-12-01,3,12,3
2009-12-01,3,4,12
2009-12-01,3,4,4
2009-12-01,3,4,3
2009-12-01,3,3,12
2009-12-01,3,3,4
2009-12-01,3,3,3
2010-01-01,4,4,4
2010-02-01,4,4,4
2010-03-01,4,12,12
2010-03-01,4,12,4
2010-03-01,4,12,4
2010-03-01,4,4,12
2010-03-01,4,4,4
2010-03-01,4,4,4
2010-03-01,4,4,12
2010-03-01,4,4,4
2010-03-01,4,4,4
2010-04-01,4,4,4
2010-05-01,3,3,3
2010-06-01,3,12,12
2010-06-01,3,12,4
2010-06-01,3,12,3
2010-06-01,3,4,12
2010-06-01,3,4,4
2010-06-01,3,4,3
2010-06-01,3,3,12
2010-06-01,3,3,4
2010-06-01,3,3,3
2010-07-01,3,13,13
2010-07-01,3,13,4
2010-07-01,3,13,3
2010-07-01,3,4,13
2010-07-01,3,4,4
2010-07-01,3,4,3
2010-07-01,3,3,13
2010-07-01,3,3,4
2010-07-01,3,3,3
2010-08-01,3,3,3
2010-09-01,3,13,13
2010-09-01,3,13,4
2010-09-01,3,13,3
2010-09-01,3,4,13
2010-09-01,3,4,4
2010-09-01,3,4,3
2010-09-01,3,3,13
2010-09-01,3,3,4
2010-09-01,3,3,3
2010-10-01,4,12,12
2010-10-01,4,12,4
2010-10-01,4,12,4
2010-10-01,4,4,12
2010-10-01,4,4,4
2010-10-01,4,4,4
2010-10-01,4,4,12
2010-10-01,4,4,4
2010-10-01,4,4,4
2010-11-01,4,12,12
2010-11-01,4,12,4
2010-11-01,4,12,4
2010-11-01,4,4,12
2010-11-01,4,4,4
2010-11-01,4,4,4
2010-11-01,4,4,12
2010-11-01,4,4,4
2010-11-01,4,4,4
2010-12-01,4,12,12
2010-12-01,4,12,4
2010-12-01,4,12,4
2010-12-01,4,4,12
2010-12-01,4,4,4
2010-12-01,4,4,4
2010-12-01,4,4,12
2010-12-01,4,4,4
2010-12-01,4,4,4
2011-01-01,3,3,3
2011-02-01,3,12,12
2011-02-01,3,12,4
2011-02-01,3,12,3
2011-02-01,3,4,12
2011-02-01,3,4,4
2011-02-01,3,4,3
2011-02-01,3,3,12
2011-02-01,3,3,4
2011-02-01,3,3,3
2011-03-01,3,12,12
2011-03-01,3,12,4
2011-03-01,3,12,3
2011-03-01,3,4,12
2011-03-01,3,4,4
2011-03-01,3,4,3
2011-03-01,3,3,12
2011-03-01,3,3,4
2011-03-01,3,3,3
2011-04-01,3,11,11
2011-04-01,3,11,4
2011-04-01,3,11,3
2011-04-01,3,4,11
2011-04-01,3,4,4
2011-04-01,3,4,3
2011-04-01,3,3,11
2011-04-01,3,3,4
2011-04-01,3,3,3
2011-05-01,3,3,3
2011-06-01,3,11,11
2011-06-01,3,11,4
2011-06-01,3,11,3
2011-06-01,3,4,11
2011-06-01,3,4,4
2011-06-01,3,4,3
2011-06-01,3,3,11
2011-06-01,3,3,4
2011-06-01,3,3,3
2011-07-01,3,11,11
2011-07-01,3,11,4
2011-07-01,3,11,3
2011-07-01,3,4,11
2011-07-01,3,4,4
2011-07-01,3,4,3
2011-07-01,3,3,11
2011-07-01,3,3,4
2011-07-01,3,3,3
2011-08-01,3,11,11
2011-08-01,3,11,4
2011-08-01,3,11,3
2011-08-01,3,4,11
2011-08-01,3,4,4
2011-08-01,3,4,3
2011-08-01,3,3,11
2011-08-01,3,3,4
2011-08-01,3,3,3
2011-09-01,3,12,12
2011-09-01,3,12,4
2011-09-01,3,12,3
2011-09-01,3,4,12
2011-09-01,3,4,4
2011-09-01,3,4,3
2011-09-01,3,3,12
2011-09-01,3,3,4
2011-09-01,3,3,3
2011-10-01,3,3,3
2011-11-01,3,13,13
2011-11-01,3,13,4
2011-11-01,3,13,3
2011-11-01,3,4,13
2011-11-01,3,4,4
2011-11-01,3,4,3
2011-11-01,3,3,13
2011-11-01,3,3,4
2011-11-01,3,3,3
2011-12-01,3,13,13
2011-12-01,3,13,4
2011-12-01,3,13,3
2011-12-01,3,4,13
2011-12-01,3,4,4
2011-12-01,3,4,3
2011-12-01,3,3,13
2011-12-01,3,3,4
2011-12-01,3,3,3
2012-01-01,4,4,4
2012-02-01,3,12,12
2012-02-01,3,12,4
2012-02-01,3,12,3
2012-02-01,3,4,12
2012-02-01,3,4,4
2012-02-01,3,4,3
2012-02-01,3,3,12
2012-02-01,3,3,4
2012-02-01,3,3,3
2012-03-01,3,12,12
2012-03-01,3,12,4
2012-03-01,3,12,3
2012-03-01,3,4,12
2012-03-01,3,4,4
2012-03-01,3,4,3
2012-03-01,3,3,12
2012-03-01,3,3,4
2012-03-01,3,3,3
2012-04-01,3,3,3
2012-05-01,3,3,3
2012-06-01,4,14,14
2012-06-01,4,14,4
2012-06-01,4,14,4
2012-06-01,4,4,14
2012-06-01,4,4,4
2012-06-01,4,4,4
2012-06-01,4,4,14
2012-06-01,4,4,4
2012-06-01,4,4,4
2012-07-01,4,4,4
2012-08-01,4,13,13
2012-08-01,4,13,4
2012-08-01,4,13,4
2012-08-01,4,4,13
2012-08-01,4,4,4
2012-08-01,4,4,4
2012-08-01,4,4,13
2012-08-01,4,4,4
2012-08-01,4,4,4
2012-09-01,4,4,4
2012-10-01,4,12,12
2012-10-01,4,12,4
2012-10-01,4,12,4
2012-10-01,4,4,12
2012-10-01,4,4,4
2012-10-01,4,4,4
2012-10-01,4,4,12
2012-10-01,4,4,4
2012-10-01,4,4,4
2012-11-01,4,13,13
2012-11-01,4,13,4
2012-11-01,4,13,4
2012-11-01,4,4,13
2012-11-01,4,4,4
2012-11-01,4,4,4
2012-11-01,4,4,13
2012-11-01,4,4,4
2012-11-01,4,4,4
2012-12-01,3,3,3
2013-01-01,3,3,3
2013-02-01,3,12,12
2013-02-01,3,12,4
2013-02-01,3,12,3
2013-02-01,3,4,12
2013-02-01,3,4,4
2013-02-01,3,4,3
2013-02-01,3,3,12
2013-02-01,3,3,4
2013-02-01,3,3,3
2013-03-01,4,12,12
2013-03-01,4,12,4
2013-03-01,4,12,4
2013-03-01,4,4,12
2013-03-01,4,4,4
2013-03-01,4,4,4
2013-03-01,4,4,12
2013-03-01,4,4,4
2013-03-01,4,4,4
2013-04-01,4,12,12
2013-04-01,4,12,4
2013-04-01,4,12,4
2013-04-01,4,4,12
2013-04-01,4,4,4
2013-04-01,4,4,4
2013-04-01,4,4,12
2013-04-01,4,4,4
2013-04-01,4,4,4
2013-05-01,4,4,4
2013-06-01,4,4,4
2013-07-01,3,12,12
2013-07-01,3,12,4
2013-07-01,3,12,3
2013-07-01,3,4,12
2013-07-01,3,4,4
2013-07-01,3,4,3
2013-07-01,3,3,12
2013-07-01,3,3,4
2013-07-01,3,3,3
2013-08-01,3,12,12
2013-08-01,3,12,4
2013-08-01,3,12,3
2013-08-01,3,4,12
2013-08-01,3,4,4
2013-08-01,3,4,3
2013-08-01,3,3,12
2013-08-01,3,3,4
2013-08-01,3,3,3
2013-09-01,3,3,3
2013-10-01,3,13,13
2013-10-01,3,13,4
2013-10-01,3,13,3
2013-10-01,3,4,13
2013-10-01,3,4,4
2013-10-01,3,4,3
2013-10-01,3,3,13
2013-10-01,3,3,4
2013-10-01,3,3,3
2013-11-01,3,13,13
2013-11-01,3,13,3
2013-11-01,3,13,3
2013-11-01,3,3,13
2013-11-01,3,3,3
2013-11-01,3,3,3
2013-11-01,3,3,13
2013-11-01,3,3,3
2013-11-01,3,3,3
2013-12-01,3,3,3
2014-01-01,4,4,4
2014-02-01,4,4,4
2014-03-01,3,3,3
2014-04-01,3,13,13
2014-04-01,3,13,3
2014-04-01,3,13,3
2014-04-01,3,3,13
2014-04-01,3,3,3
2014-04-01,3,3,3
2014-04-01,3,3,13
2014-04-01,3,3,3
2014-04-01,3,3,3
2014-05-01,3,3,3
2014-06-01,3,3,3
2014-07-01,4,12,12
2014-07-01,4,12,3
2014-07-01,4,12,4
2014-07-01,4,3,12
2014-07-01,4,3,3
2014-07-01,4,3,4
2014-07-01,4,4,12
2014-07-01,4,4,3
2014-07-01,4,4,4
2014-08-01,4,13,13
2014-08-01,4,13,3
2014-08-01,4,13,4
2014-08-01,4,3,13
2014-08-01,4,3,3
2014-08-01,4,3,4
2014-08-01,4,4,13
2014-08-01,4,4,3
2014-08-01,4,4,4
2014-09-01,4,13,13
2014-09-01,4,13,3
2014-09-01,4,13,4
2014-09-01,4,3,13
2014-09-01,4,3,3
2014-09-01,4,3,4
2014-09-01,4,4,13
2014-09-01,4,4,3
2014-09-01,4,4,4
2014-10-01,4,13,13
2014-10-01,4,13,3
2014-10-01,4,13,4
2014-10-01,4,3,13
2014-10-01,4,3,3
2014-10-01,4,3,4
2014-10-01,4,4,13
2014-10-01,4,4,3
2014-10-01,4,4,4
2014-11-01,4,4,4
2014-12-01,4,13,13
2014-12-01,4,13,3
2014-12-01,4,13,4
2014-12-01,4,3,13
2014-12-01,4,3,3
2014-12-01,4,3,4
2014-12-01,4,4,13
2014-12-01,4,4,3
2014-12-01,4,4,4
2015-01-01,3,3,3
2015-02-01,3,3,3
2015-03-01,3,3,3
2015-04-01,3,15,15
2015-04-01,3,15,3
2015-04-01,3,15,3
2015-04-01,3,3,15
2015-04-01,3,3,3
2015-04-01,3,3,3
2015-04-01,3,3,15
2015-04-01,3,3,3
2015-04-01,3,3,3
2015-05-01,2,2,2
2015-06-01,2,15,15
2015-06-01,2,15,3
2015-06-01,2,15,2
2015-06-01,2,3,15
2015-06-01,2,3,3
2015-06-01,2,3,2
2015-06-01,2,2,15
2015-06-01,2,2,3
2015-06-01,2,2,2
2015-07-01,2,15,15
2015-07-01,2,15,3
2015-07-01,2,15,2
2015-07-01,2,3,15
2015-07-01,2,3,3
2015-07-01,2,3,2
2015-07-01,2,2,15
2015-07-01,2,2,3
2015-07-01,2,2,2
2015-08-01,2,2,2
2015-09-01,2,16,16
2015-09-01,2,16,3
